geonameid	name	lat	lng	fclass	fcode	admin2	population
1252651	Zuvvaladinne	14.80796	80.07045	P	PPL	550	0
1252658	Zulakallu	16.44415	79.78743	P	PPL	751	0
1252688	Zangareddigudem	17.12288	81.29525	P	PPL	748	0
1252689	Zangalapalle	14.59074	77.6413	S	RSTN	553	0
1252694	Zaladanki	14.88431	79.91251	P	PPL	550	0
1252725	Yerur	14.17677	80.04152	P	PPL	752	0
1252746	Yellakuru Railway Station	13.84643	79.65049	S	RSTN	752	0
1252755	Yelatturdibba	15.78086	80.87351	P	PPL	547	0
1252775	Yarrampalli	14.29065	77.62439	S	RSTN	754	0
1252781	Yarada Konda	17.66935	83.25256	T	HLL	544	0
1252782	Yarada Hill	17.68333	83.28333	T	HLL	544	0
1252783	Yarada	17.65872	83.27419	P	PPL	544	3406
1252795	Yanam	16.73308	82.21364	P	PPL	545	55626
1252806	Yalmel	18.83333	84.46667	T	HLL	542	0
1252820	Yadiki	15.04941	77.87306	P	PPL	553	0
1252827	Wynchpet	16.52372	80.61692	P	PPLX	749	0
1252873	West Godavari	16.53101	81.6205	A	ADM2	546	3936966
1252982	Waltair Point	17.72869	83.34649	T	PT	544	0
1252983	Waltair	17.7211	83.2894	S	RSTN	544	0
1252984	Waltair	17.71685	83.31924	P	PPL	544	0
1253023	Waghari River	19.90667	78.33466	H	STM		0
1253077	Vuyyuru	16.36307	80.84406	P	PPL	547	36755
1253083	Vogaru Vagu	16.08302	80.24854	H	STM		0
1253084	Vizianagaram	18.11692	83.41148	P	PPLA2	543	228720
1253093	Vissannapeta	16.94125	80.78576	P	PPL	749	0
1253102	Visakhapatnam	17.68009	83.20161	P	PPLA2	544	1063178
1253103	Vishakhapatnam	17.73333	83.26667	A	ADM2	544	4290589
1253128	Viravalli	16.61211	80.91818	P	PPL	547	0
1253136	Virapalle	14.15802	78.85761	P	PPL	753	0
1253142	Virampalli	14.28535	79.81283	P	PPL	550	0
1253146	Viraghattam	18.68644	83.60919	P	PPL	743	0
1253150	Vinukonda	16.0531	79.73964	P	PPL	751	62550
1253153	Vinnadivaram	16.01797	79.56051	P	PPL	549	0
1253155	Vinjamur	14.83364	79.57985	P	PPL	550	0
1253157	Vindur	14.189	79.82577	P	PPL	752	0
1253184	Vijayawada	16.50745	80.6466	P	PPL	749	1143232
1253185	Vijayarayi	16.80941	81.0384	P	PPL	748	0
1253194	Vijilapuram	12.83425	78.46369	P	PPL	554	0
1253202	Vidapanakallu	15.05731	77.18251	P	PPL	553	0
1253220	Vetapalem	15.78502	80.30663	P	PPL	750	38671
1253242	Vepagunta	17.77844	83.21577	P	PPL	544	26881
1253247	Venkatapuram	17.51063	82.62857	P	PPL	744	0
1253250	Venkatagirikota	13.0018	78.48478	P	PPL	554	0
1253251	Venkatagiri	13.96005	79.58032	P	PPL	752	52688
1253252	Venkatagiri	13.19444	78.90081	P	PPL	554	0
1253253	Venkatachelam Chattram	14.32674	79.92498	P	PPL	550	0
1253263	Vendodu Railway Station	14.02686	79.72874	S	RSTN	752	0
1253265	Venadu	13.64101	80.13014	P	PPL	752	0
1253266	Vemulachedu	14.12565	79.67207	P	PPL	550	0
1253268	Vempalle	14.36729	78.4587	P	PPL	551	0
1253279	Velugodu	15.71932	78.57296	P	PPL	755	0
1253281	Veludurti	16.34929	79.36669	P	PPL	751	0
1253288	Vellaturu	14.45071	78.65972	P	PPL	551	0
1253293	Vellanti	14.4807	79.82234	P	PPL	550	0
1253299	Velikonda Hills	14.62063	79.19871	T	MTS		0
1253302	Veldurti	15.54993	77.93112	P	PPL	552	0
1253311	Velampalle	15.63938	80.01343	P	PPL	549	0
1253319	Vegavati River	18.60252	83.5765	H	STM		0
1253320	Vedullacheruvu	15.31393	79.23185	P	PPL	549	0
1253322	Vedichela	14.09243	79.76272	P	PPL	752	0
1253327	Vedayapalem	14.40661	79.95887	S	RSTN	550	0
1253339	Vayalpad	13.63732	78.62991	P	PPL	753	0
1253350	Vatturupallepalem	14.85099	80.08434	P	PPL	550	0
1253362	Vasishta Godavari River	16.3098	81.71755	H	STM		0
1253395	Variguntapadu	14.99029	79.42043	P	PPL	550	0
1253409	Varakuru	15.68476	78.17797	P	PPL	552	0
1253414	Varadayyapalaiyam	13.59858	79.93276	P	PPL	752	0
1253441	Vanipenta	14.79055	78.78047	P	PPL	551	0
1253447	Vanganuru	14.8473	78.08091	S	RSTN	553	0
1253494	Valassala	15.38333	77.98333	P	PPL	755	0
1253496	Valasarapalli	14.45585	79.76675	P	PPL	550	0
1253497	Valasala	15.38863	77.97093	P	PPL	755	0
1253501	Valaparla	15.92406	80.04919	P	PPL	750	0
1253507	Valamuru	17.62566	81.63834	P	PPL	745	0
1253508	Vala Metta	17.63333	83.23333	T	HLL	544	0
1253520	Vakalapudi	17.01667	82.28333	P	PPL	746	0
1253522	Wajrakarur	15.02719	77.38657	P	PPL	553	0
1253578	Vadlapudi	14.31119	79.8043	P	PPL	550	17881
1253586	Vaddepa	17.74536	82.61786	P	PPL	744	0
1253589	Vaddadi	17.84737	82.87293	P	PPL	744	0
1253592	Vadarevu	15.79728	80.41176	P	PPL	750	0
1253594	Vadamala	13.54886	79.52423	P	PPL	752	0
1253612	Uyyalavada	15.63142	78.07537	P	PPL	552	0
1253613	Uyyalavada	15.10168	78.39608	P	PPL	755	0
1253615	Vutukuru	14.57777	80.14227	P	PPL	550	0
1253616	Utukuru	14.25	79.75	P	PPL	550	0
1253617	Vutukuru	14.23827	79.7395	P	PPL	550	0
1253620	Uttukuru	14.56667	80.15	P	PPL	550	0
1253631	Uttaravilli	18.45847	83.47696	P	PPL	543	0
1253636	Uchapalem	14.36285	79.67062	P	PPL	550	0
1253661	Ustikoilpenta	13.83463	79.03316	P	PPL	752	0
1253698	Uravakonda	14.94348	77.25494	P	PPL	553	35565
1253708	Upputuru	14.42357	79.792	P	PPL	550	0
1253710	Upputeru River	16.34681	81.54336	H	STM		0
1253711	Upputeru River	15.12656	79.91394	H	STM		0
1253713	Upputeru River	14.24728	80.13581	H	STM		0
1253715	Uppuluru	16.49016	80.77772	S	RSTN	547	0
1253716	Uppugunduru	15.64992	80.19381	S	RSTN	750	0
1253717	Uppugunduru	15.67009	80.16879	P	PPL	549	0
1253725	Uppalapadu	15.88725	79.91156	P	PPL	750	0
1253726	Uppalapadu	15.58267	79.7567	P	PPL	549	0
1253727	Uppalapadu	15.17039	78.044	P	PPL	755	0
1253728	Uppalaguptam	16.55326	82.09749	P	PPL	747	0
1253733	Uppada Konda	17.83333	83.41667	T	HLL	544	0
1253734	Uppada	17.08333	82.33333	P	PPL	746	0
1253763	Undi	16.58542	81.46211	P	PPL	546	0
1253765	Undavalli	16.49566	80.58574	P	PPL	548	0
1253887	Ullapalem	15.23697	80.0712	P	PPL	549	0
1253891	Ulindakonda	15.64509	77.97152	P	PPL	552	0
1253896	Ulavapad	15.1665	79.99599	P	PPL	550	0
1253967	Udayagiri	14.87538	79.30861	P	PPL	550	0
1254030	Turpupundla	14.19075	79.7845	P	PPL	550	0
1254036	Turimerla	14.27568	79.73911	P	PPL	550	0
1254052	Tunkapalem	14.31136	79.83028	P	PPL	550	0
1254054	Tuni	17.35905	82.54607	P	PPL	746	53425
1254065	Tungabbadra Railroad Station	15.94816	77.29924	S	RSTN	552	0
1254077	Tumuluru	16.26999	80.75136	P	PPL	548	0
1254083	Tummurukota	16.55804	79.45814	P	PPL	751	0
1254084	Tummidala Metta	17.7	83.26667	T	HLL	544	0
1254085	Tummalatalupur	14.2957	79.69682	P	PPL	550	0
1254086	Tummalapenta	14.89974	80.0687	P	PPL	550	0
1254095	Tumbagarh	19.02228	84.45606	P	PPL		0
1254130	Tuggali	15.31379	77.54503	P	PPL	552	0
1254141	Tsundupalle	13.98092	78.9152	P	PPL	753	0
1254153	Tsandavolu	16.00752	80.61218	P	PPL	750	0
1254156	Tsadumu	13.66385	78.0998	P	PPL	753	0
1254157	Tsadum	13.5479	78.90752	P	PPL	554	0
1254167	Tripurantakam	15.99962	79.45674	P	PPL	549	0
1254210	Totapalliguduru	14.38915	80.08322	P	PPL	550	0
1254211	Totakurapalem	17.68908	82.80712	P	PPL	744	0
1254247	Tonduru	14.57544	78.28102	P	PPL	551	0
1254252	Tondangi	17.24751	82.47819	P	PPL	746	0
1254268	Tokapalle	15.88392	79.28578	P	PPL	549	0
1254269	Tokalapudi	14.16116	79.68357	P	PPL	550	0
1254276	Togarakunta	14.4895	77.46007	P	PPL	754	0
1254280	Toderu	14.41177	79.76568	P	PPL	550	0
1254360	Tirupati	13.63551	79.41989	P	PPL	752	295323
1254373	Tirumala	13.68333	79.35	P	PPL	752	18013
1254422	Tippireddipalli	14.17059	79.70242	P	PPL	550	0
1254423	Tippavarapadu	14.16174	79.77841	P	PPL	752	0
1254429	Tipanuru	14.09145	79.8555	P	PPL	752	0
1254449	Timmasamudram	13.63993	79.7315	P	PPL	752	0
1254450	Timmareddipalle	15.47831	79.36833	P	PPL	549	0
1254452	Timmapuram	17.38333	82.03333	P	PPL	745	0
1254454	Timmanayudupeta	14.70828	79.21711	P	PPL	550	0
1254455	Timmanayanipeta	15.0203	78.15946	P	PPL	755	0
1254490	Tilaru	18.47869	84.0775	P	PPL	542	0
1254523	Tikkavadipalem	17.73333	83.28333	P	PPL	544	0
1254565	Thulipalem	14.75256	80.10719	P	PPL	550	0
1254708	Thadakaleru	14.76973	77.65169	H	STMI		0
1254713	Tettu	15.05153	80.00375	P	PPL	550	0
1254757	Thenali	16.24253	80.63982	P	PPLA3	548	164937
1254767	Temburu	18.63066	84.12898	P	PPL	542	0
1254794	Tekkali	18.6057	84.23546	P	PPL	542	28631
1254820	Tayyuru	13.29954	79.30802	P	PPL	554	0
1254847	Tatiparti	14.51611	79.76661	P	PPL	550	0
1254848	Taticherla	15.38343	79.04536	P	PPL	549	0
1254872	Tarlupadu	15.65708	79.22379	P	PPL	549	0
1254873	Tarlakota	18.8031	84.40278	P	PPL	542	0
1254881	Tarigonda	13.69318	78.62834	P	PPL	753	0
1254953	Tanuku	16.75438	81.68143	P	PPL	546	77962
1254973	Tanisahippeta	18.33333	84.11667	P	PPL	542	0
1254979	Tanguturu	15.33921	80.04006	P	PPL	549	0
1254992	Tangeda	16.66736	79.81714	P	PPL	751	0
1254994	Tanguturu	14.29537	79.22216	P	PPL	753	0
1255012	Tandava Nadi	17.29038	82.61186	H	STM		0
1255028	Tanakallu	13.92002	78.19493	P	PPL	754	0
1255041	Tammileru River	16.72817	81.08989	H	STM		0
1255042	Tammenapatam	14.23272	80.1023	P	PPL	752	0
1255064	Tamballapalle	13.82204	78.45174	P	PPL	753	0
1255089	Talupula	14.24148	78.25848	P	PPL	754	0
1255095	Talperu River	18.03604	80.82324	H	STM		0
1255115	Tallapalem	17.63342	82.89038	P	PPL	744	0
1255167	Talamanchipatnam	14.94492	78.31144	P	PPL	551	0
1255168	Talamanchi Railway Station	14.60641	79.99782	S	RSTN	550	0
1255182	Talagadadivi	15.91725	80.93067	P	PPL	547	0
1255250	Taduku Railway Station	13.49719	79.53043	S	RSTN	752	0
1255253	Tadpatri	14.9087	77.97675	S	RSTN	553	0
1255254	Tadpatri	14.90832	78.01031	P	PPL	553	108171
1255258	Tadivaripalle	15.59336	79.27886	P	PPL	549	0
1255259	Tadimarri	14.56222	77.85895	P	PPL	754	0
1255260	Tadikonda	16.41837	80.45485	P	PPL	548	0
1255261	Tadikalapudi	16.89974	81.17536	P	PPL	748	0
1255263	Tadi	17.68635	83.06525	S	RSTN	744	0
1255264	Tadepalligudem	16.81467	81.52717	P	PPL	546	112655
1255265	Tadepalle	16.48333	80.6	P	PPL	548	64149
1255266	Tadepalle	16.48458	80.60678	P	PPL	548	0
1255273	Tada	13.58593	80.0315	P	PPL	752	0
1255282	Swarnamukhi River	14.0789	80.13949	H	STM		0
1255287	Suvarnamukhi River	18.59097	83.64645	H	STM		0
1255308	Suryalanka	15.84752	80.52724	P	PPL	750	0
1255345	Suriapalem	16.54914	80.56248	P	PPL	749	0
1255366	Surareddipalem	15.41211	80.04943	P	PPL	549	0
1255407	Suntadasupalli	14.21968	79.82489	P	PPL	752	0
1255418	Sunkarimetta	18.27294	82.96581	P	PPL	745	0
1255429	Sundi Penta	16.07625	78.907	P	PPL	755	0
1255483	Suluru	13.7	80.01667	P	PPL	752	38065
1255602	Stuartpuram	15.87448	80.41563	S	RSTN	750	0
1255615	Srungavarapukota	18.11084	83.13996	P	PPL	543	0
1255621	Srisailain	16.07217	78.86816	P	PPL	755	24142
1255644	Srikurmam	18.27085	84.00442	P	PPL	542	0
1255647	Srikakulam	18.2989	83.89751	P	PPL	542	137944
1255648	Srikakulam	16.19645	80.84671	P	PPL	547	0
1255649	Srikakulam	18.5	84	A	ADM2	542	2703114
1255650	Sriharikota Island	13.73309	80.20484	T	ISL		0
1255653	Srigiripadu	16.30549	79.32777	P	PPL	751	0
1255717	Soona Metta	17.68333	83.26667	T	HLL	544	0
1255815	Sompeta	18.97963	84.57992	S	RSTN	542	0
1255816	Sompeta	18.94419	84.58449	P	PPL	542	18778
1255820	Somidevipalle	15.45718	79.03842	P	PPL	549	0
1255829	Somavaram	17.22708	82.11812	P	PPL	746	0
1255837	Somalapuram	14.90184	76.86846	S	RSTN	553	0
1255838	Somala	13.47476	78.81007	P	PPL	554	0
1255856	Sokal Eru	17.72517	81.38059	H	STM		0
1255941	Sivarampuram	18.53545	83.24321	P	PPL	743	0
1255948	Sivajipalem	17.73333	83.33333	P	PPL	544	0
1255964	Sitarampuram	15.01587	79.13674	P	PPL	550	0
1255966	Sitaramapuram	14.71963	78.66667	P	PPL	551	0
1255974	Sitanagaram	18.65584	83.3771	P	PPL	743	0
1255976	Sitanagaram	17.18333	81.7	P	PPL	545	0
1255977	Sitanagaram	16.49332	80.61096	P	PPL	548	0
1255980	Sitammapeta	17.73333	83.31667	P	PPL	544	0
1256018	Sirvel	15.32102	78.53439	P	PPL	755	0
1256176	Singarayakonda	15.23046	80.02794	P	PPL	549	19400
1256183	Singanamala	14.80031	77.71876	P	PPL	553	0
1256241	Simhagadda	18.59252	83.02453	P	PPL	743	0
1256242	Simhadripuram	14.62991	78.12797	P	PPL	551	0
1256243	Simhachalam Railway Station	17.74526	83.22078	S	RSTN	544	0
1256244	Simhachalam	17.76675	83.24986	P	PPL	544	0
1256284	Sileru	18.04802	82.03444	P	PPL	745	0
1256357	Sigadam	18.36048	83.68141	S	RSTN	542	0
1256358	Sigadam	18.37869	83.68175	P	PPL	542	0
1256379	Siddhavattam Railroad Station	14.43217	78.92011	S	RSTN	551	0
1256380	Siddhavattam	14.46795	78.96948	P	PPL	551	0
1256381	Siddha River	19.01364	78.23163	H	STM		0
1256383	Siddeswaram	16.03365	78.32926	P	PPL	755	0
1256782	Setturu	14.44801	76.98224	P	PPL	553	0
1256784	Settigunta	13.85398	79.39776	P	PPL	753	0
1256790	Seshachalam Hills	14.33333	78.25	T	HLLS		0
1256988	Satyavedu	13.43661	79.95774	P	PPL	752	0
1257001	Sattenapalle	16.39381	80.15221	P	PPL	751	56721
1257003	Sattavada	17.7064	81.68839	P	PPL	745	0
1257102	Sarvakota	18.59214	84.05307	P	PPL	542	0
1257338	Santa Metta	17.68333	83.25	T	HLL	544	0
1257339	Santasmaguluru Railroad Station	16.1467	79.91545	S	RSTN	751	0
1257343	Santajuturu	15.62619	78.53379	P	PPL	755	0
1257377	Sankarayalapeta	13.22367	78.61258	P	PPL	554	0
